"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"171",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.1,61.4,77,62.1,0,749
"172",0,0,0,0,0,1,0,0,0,0,0,0,2015,60.7,52.7,69.1,55.4,0,889
"173",0,0,0,0,0,1,0,0,0,0,0,0,2015,59.3,51.8,69.1,53.1,0,757
"174",0,0,0,0,0,1,0,0,0,0,0,0,2015,64.2,51.9,77,53.1,0,768
"175",0,0,0,0,0,1,0,0,0,0,0,0,2015,69.7,54.4,81,55,0,845
"176",0,0,0,0,0,1,0,0,0,0,0,0,2015,72.4,58.4,82.9,59,0,898
"177",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.2,64.9,84.9,60.1,0,757
"178",0,0,0,0,0,1,0,0,0,0,0,0,2015,67.3,58.1,84.9,57,0,701
"179",0,0,0,0,0,1,0,0,0,0,0,0,2015,59.7,50.2,71.1,54,0,718
"180",0,0,0,0,0,1,0,0,0,0,0,0,2015,63.6,56,77,54,0,672
"181",0,0,0,0,0,1,0,0,0,0,0,0,2015,69,56.5,82.9,57.9,0,739
"182",0,0,0,0,0,1,0,0,0,0,0,0,2015,70.4,57.8,82.9,59,0,798
"183",0,0,0,0,0,1,0,0,0,0,0,0,2015,73.6,65.6,82.9,61,0,801
"184",0,0,0,0,0,1,0,0,0,0,0,0,2015,75.7,68.2,86,68,0,782
"185",0,0,0,0,0,1,0,0,0,0,0,0,2015,76.2,66.4,86,68,0,711
"186",0,0,0,0,0,1,0,0,0,0,0,0,2015,65.8,53.1,82.9,59,0,795
"187",0,0,0,0,0,1,0,0,0,0,0,0,2015,66,56.4,75,57.9,0,673
"188",0,0,0,0,0,1,0,0,0,0,0,0,2015,77.3,70.9,91.9,57.9,0,825
"189",0,0,0,0,0,1,0,0,0,0,0,0,2015,78.7,71.4,91.9,71.1,0,776
"190",0,0,0,0,0,1,0,0,0,0,0,0,2015,79.4,69.6,89.1,73,0,764
"191",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.5,62,84.9,63,0,778
"192",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.9,58.2,84.9,63,0,777
"193",0,0,0,0,0,1,0,0,0,0,0,0,2015,73.6,55.9,82.9,64,0,774
"194",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.4,56.6,84.9,63,0,810
"195",0,0,0,0,0,1,0,0,0,0,0,0,2015,75.2,60.1,84.9,63,0,867
"196",0,0,0,0,0,1,0,0,0,0,0,0,2015,79.5,67.1,91,64,0,832
"197",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.7,65.5,91,64,0,802
"198",0,0,0,0,0,1,0,0,0,0,0,0,2015,77.2,64,88,64,0,835
"199",0,0,0,0,0,1,0,0,0,0,0,0,2015,79.4,66.6,91,66.9,0,767
"200",0,0,0,0,0,1,0,0,0,0,0,0,2015,81.3,66,91,66.9,0,764
"201",0,0,0,0,0,1,0,0,0,0,0,0,2015,77.1,55.3,88,64.9,0,775
"202",0,0,0,0,0,1,0,0,0,0,0,0,2015,78.2,56.4,88,64.9,0,782
"203",0,1,0,0,0,0,0,0,0,0,0,0,2015,79.6,65.4,91,64,0,822
"204",0,1,0,0,0,0,0,0,0,0,0,0,2015,75.7,60.1,91,66.9,0,729
"205",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.2,53.5,82,61,0,761
"206",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.7,55.6,82,61,0,772
"207",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.3,60.6,82.9,61,0,809
"208",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.2,59.3,82.9,63,0,839
"209",0,1,0,0,0,0,0,0,0,0,0,0,2015,75.3,62.6,82.9,63,0,849
"210",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.8,65.9,82,66.9,0,745
"211",0,1,0,0,0,0,0,0,0,0,0,0,2015,75.1,67.7,84,66.9,0,809
"212",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.9,62.3,84,64.9,0,791
"213",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.2,56.8,82,61,0,760
"214",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.8,60.4,84.9,61,0,784
"215",0,1,0,0,0,0,0,0,0,0,0,0,2015,78.2,66.1,90,64.9,0,808
"216",0,1,0,0,0,0,0,0,0,0,0,0,2015,76.6,66.7,91.9,66.9,0,826
"217",0,1,0,0,0,0,0,0,0,0,0,0,2015,78.7,69.1,91.9,66.9,0,865
"218",0,1,0,0,0,0,0,0,0,0,0,0,2015,78.6,67.1,89.1,68,0,741
"219",0,1,0,0,0,0,0,0,0,0,0,0,2015,73.6,66.8,88,66.9,0,762
"220",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.7,63.2,82.9,66.9,0,793
"221",0,1,0,0,0,0,0,0,0,0,0,0,2015,64.8,52.9,75,59,0,839
"222",0,1,0,0,0,0,0,0,0,0,0,0,2015,68.7,53,82,55,0,858
"223",0,1,0,0,0,0,0,0,0,0,0,0,2015,72.1,56.7,82,55,0,845
"224",0,1,0,0,0,0,0,0,0,0,0,0,2015,71.5,58.6,81,60.1,0,806
"225",0,1,0,0,0,0,0,0,0,0,0,0,2015,65,49,77,55,0,724
"226",0,1,0,0,0,0,0,0,0,0,0,0,2015,63.4,48.2,75,55,0,767
"227",0,1,0,0,0,0,0,0,0,0,0,0,2015,61.9,52.4,72,55.9,0,792
"228",0,1,0,0,0,0,0,0,0,0,0,0,2015,63.1,52.3,75.9,51.1,0,764
"229",0,1,0,0,0,0,0,0,0,0,0,0,2015,65.5,56.8,75.9,51.1,0,806
"230",0,1,0,0,0,0,0,0,0,0,0,0,2015,67.6,63.2,72,55.9,0,761
"231",0,1,0,0,0,0,0,0,0,0,0,0,2015,68.4,63.9,77,63,0,800
"232",0,1,0,0,0,0,0,0,0,0,0,0,2015,71,64.2,84.9,60.1,0,745
"233",0,0,0,0,0,0,0,0,0,0,0,1,2015,80.3,69.4,90,68,0,801
"234",0,0,0,0,0,0,0,0,0,0,0,1,2015,81,68.3,91,72,0,875
"235",0,0,0,0,0,0,0,0,0,0,0,1,2015,74.4,66.8,91,68,0,815
"236",0,0,0,0,0,0,0,0,0,0,0,1,2015,75.4,67.3,87.1,68,0,767
"237",0,0,0,0,0,0,0,0,0,0,0,1,2015,79.9,66.6,91.9,69.1,0,818
"238",0,0,0,0,0,0,0,0,0,0,0,1,2015,81.5,66.9,91.9,70,0,808
"239",0,0,0,0,0,0,0,0,0,0,0,1,2015,77,69.6,88,70,0,717
"240",0,0,0,0,0,0,0,0,0,0,0,1,2015,70.2,60.4,81,66,0,711
"241",0,0,0,0,0,0,0,0,0,0,0,1,2015,64,56,77,54,0,659
"242",0,0,0,0,0,0,0,0,0,0,0,1,2015,61.9,56.5,73.9,54,0,691
"243",0,0,0,0,0,0,0,0,0,0,0,1,2015,57.6,45.8,66.9,52,0,724
"244",0,0,0,0,0,0,0,0,0,0,0,1,2015,58.1,44.5,70,48,0,734
"245",0,0,0,0,0,0,0,0,0,0,0,1,2015,65.3,48.8,82,48,0,791
"246",0,0,0,0,0,0,0,0,0,0,0,1,2015,72.9,53.9,82,52,0,813
"247",0,0,0,0,0,0,0,0,0,0,0,1,2015,70.5,52.8,82.9,55.9,0,766
"248",0,0,0,0,0,0,0,0,0,0,0,1,2015,71.7,58.5,84.9,55.9,0,717
"249",0,0,0,0,0,0,0,0,0,0,0,1,2015,72,67.2,84.9,61,0,791
"250",0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,57.4,73.9,57,0,792
"251",0,0,0,0,0,0,0,0,0,0,0,1,2015,60.4,48.6,73,50,0,811
"252",0,0,0,0,0,0,0,0,0,0,0,1,2015,62.1,49.4,73.9,50,0,735
"253",0,0,0,0,0,0,0,0,0,0,0,1,2015,64.6,51.5,80.1,52,0,777
"254",0,0,0,0,0,0,0,0,0,0,0,1,2015,68.2,52.1,80.1,53.1,0,833
"255",0,0,0,0,0,0,0,0,0,0,0,1,2015,66.7,56.6,80.1,55.9,0,718
"256",0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,59.6,75.9,55.9,0,811
